No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
18.0,Robitaille Kim,S,156485,2021,Canada,Canada,30.0,180,2,0.25,0,0.00%,0.00,2,28.57%,0.25,0,0.00%,0.00
19.0,Maglio Emily,MB,168354,2021,Canada,Canada,25.0,191,131,9.36,94,45.19%,6.71,31,20.13%,2.21,6,3.75%,0.43
22.0,Snape Kennedy Brooklyn,L,181178,2021,Canada,Canada,24.0,175,0,0.00,0,-,-,0,-,-,0,-,-
23.0,Austin Parker Jane,OH,181177,2021,Canada,Canada,20.0,188,0,0.00,0,0.00%,0.00,0,0.00%,0.00,0,0.00%,0.00
,Shannon WINZER,COACH,N/A,2021,Canada,,,,,,,,,,,,,,
1.0,Yuan Xinyue,MB,135746,2021,China,China,25.0,202,61,10.17,41,51.25%,6.83,13,19.70%,2.17,7,7.61%,1.17
2.0,Zhu Ting,OH,133588,2021,China,China,27.0,198,57,9.50,51,54.26%,8.50,4,22.22%,0.67,2,4.55%,0.33
4.0,Yang Hanyu,MB,152337,2021,China,China,22.0,196,82,5.86,58,48.33%,4.14,22,25.00%,1.57,2,2.02%,0.14
6.0,Gong Xiangyu,O,143206,2021,China,China,24.0,189,73,12.17,65,48.87%,10.83,5,19.23%,0.83,3,3.66%,0.50
7.0,Wang Yuanyuan,MB,143201,2021,China,China,24.0,196,79,5.27,62,49.21%,4.13,13,16.25%,0.87,4,3.77%,0.27
8.0,Li Yao,OH,152486,2021,China,China,26.0,186,89,6.36,73,30.54%,5.21,11,18.97%,0.79,5,4.31%,0.36
9.0,Zhang Changning,OH,131973,2021,China,China,26.0,193,225,15.00,187,45.39%,12.47,27,36.99%,1.80,11,7.24%,0.73
10.0,Liu Xiaotong,OH,124132,2021,China,China,32.0,188,39,3.00,37,26.06%,2.85,1,4.17%,0.08,1,1.67%,0.08
11.0,Yao Di,S,123841,2021,China,China,29.0,182,8,0.53,1,9.09%,0.07,5,11.11%,0.33,2,1.80%,0.13
12.0,Li Yingying,OH,152318,2021,China,China,22.0,192,88,14.67,79,60.77%,13.17,3,23.08%,0.50,6,10.17%,1.00
15.0,Lin Li,L,133146,2021,China,China,29.0,171,0,0.00,0,-,-,0,-,-,0,-,-
16.0,Ding Xia,S,124130,2021,China,China,32.0,180,6,1.00,2,20.00%,0.33,4,22.22%,0.67,0,0.00%,0.00
17.0,Yan Ni,MB,138748,2021,China,China,35.0,192,43,8.60,22,48.89%,4.40,18,38.30%,3.60,3,4.41%,0.60
18.0,Wang Mengjie,L,135745,2021,China,China,26.0,173,0,0.00,0,-,-,0,-,-,0,-,-
19.0,Liu Yanhan,OH,133141,2021,China,China,29.0,188,52,3.71,46,27.71%,3.29,5,20.00%,0.36,1,1.67%,0.07
,PING LANG,COACH,N/A,2021,China,,,,,,,,,,,,,,
1.0,Vargas Valdez Annerys Victoria,MB,113454,2021,Dominican Republic,Dominican Republic,40.0,196,48,4.00,30,38.96%,2.50,16,21.92%,1.33,2,3.23%,0.17
3.0,Eve Mejia Lisvel Elisa,MB,119591,2021,Dominican Republic,Dominican Republic,30.0,194,38,2.71,25,47.17%,1.79,11,15.94%,0.79,2,2.11%,0.14
5.0,Castillo Brenda,L,119039,2021,Dominican Republic,Dominican Republic,29.0,167,0,0.00,0,-,-,0,-,-,0,-,-
6.0,Dominguez Martinez Camil Inmaculada,S,119545,2021,Dominican Republic,Dominican Republic,30.0,176,2,0.15,1,33.33%,0.08,0,0.00%,0.00,1,3.45%,0.08
7.0,Marte Frica Niverka Dharlenis,S,119585,2021,Dominican Republic,Dominican Republic,31.0,178,19,1.27,11,28.95%,0.73,2,3.28%,0.13,6,3.57%,0.40
11.0,Rodriguez Marifranchi,MB,115386,2021,Dominican Republic,Dominican Republic,31.0,190,8,0.53,7,29.17%,0.47,1,7.69%,0.07,0,0.00%,0.00
12.0,Perez Javier Yokaty,S,139912,2021,Dominican Republic,Dominican Republic,23.0,178,0,0.00,0,-,-,0,-,-,0,-,-
14.0,Rivera Brens Prisilla,OH,112468,2021,Dominican Republic,Dominican Republic,37.0,184,157,10.47,136,40.00%,9.07,10,18.87%,0.67,11,5.95%,0.73
16.0,Peña Isabel Yonkaira Paola,OH,123978,2021,Dominican Republic,Dominican Republic,28.0,190,128,8.53,117,41.20%,7.80,8,26.67%,0.53,3,2.17%,0.20
17.0,Mambru Casilla Gina Altagracia,O,115391,2021,Dominican Republic,Dominican Republic,36.0,182,22,1.47,20,35.09%,1.33,1,11.11%,0.07,1,2.63%,0.07
18.0,De La Cruz De Peña Bethania,OH,114294,2021,Dominican Republic,Dominican Republic,34.0,188,181,12.07,162,38.39%,10.80,6,15.00%,0.40,13,7.93%,0.87
20.0,Martinez Brayelin Elizabeth,OH,123982,2021,Dominican Republic,Dominican Republic,25.0,201,149,9.93,136,40.00%,9.07,9,18.00%,0.60,4,4.60%,0.27
21.0,Martinez Jineiry,MB,139910,2021,Dominican Republic,Dominican Republic,24.0,192,138,9.20,98,47.12%,6.53,33,19.08%,2.20,7,3.26%,0.47
23.0,Gonzalez Lopez Gaila Ceneida,O,139927,2021,Dominican Republic,Dominican Republic,24.0,190,94,8.55,76,37.62%,6.91,6,15.00%,0.55,12,12.37%,1.09
25.0,Martinez Caro Larysmer,L,139913,2021,Dominican Republic,Dominican Republic,25.0,174,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
,Marcos Kwiek,COACH,N/A,2021,Dominican Republic,,,,,,,,,,,,,,
1.0,Bock Linda,L,152140,2021,Germany,Germany,21.0,172,1,0.07,0,-,-,0,-,-,1,10.00%,0.07
2.0,Kästner Pia,S,150973,2021,Germany,Germany,23.0,182,14,0.93,6,60.00%,0.40,4,28.57%,0.27,4,6.25%,0.27
4.0,Imoudu Denise,S,136668,2021,Germany,Germany,26.0,180,37,2.47,24,50.00%,1.60,8,14.55%,0.53,5,3.79%,0.33
5.0,Poll Jana Franziska,OH,141676,2021,Germany,Germany,33.0,185,28,2.00,20,35.09%,1.43,3,16.67%,0.21,5,9.26%,0.36
7.0,Vanjak Ivana,OH,168102,2021,Germany,Germany,26.0,193,45,4.50,38,41.76%,3.80,4,26.67%,0.40,3,8.33%,0.30
8.0,Drewniok Kimberly,O,156295,2021,Germany,Germany,24.0,188,133,8.87,119,38.51%,7.93,8,14.55%,0.53,6,5.08%,0.40
9.0,Alsmeier Lina,OH,163658,2021,Germany,Germany,21.0,189,164,10.93,143,41.57%,9.53,13,28.89%,0.87,8,4.85%,0.53
10.0,Stigrot Lena,OH,144980,2021,Germany,Germany,27.0,184,42,3.50,37,38.14%,3.08,2,10.00%,0.17,3,7.14%,0.25
12.0,Orthmann Hanna,OH,151016,2021,Germany,Germany,23.0,-,183,12.20,146,41.24%,9.73,16,29.09%,1.07,21,15.11%,1.40
14.0,Schölzel Marie,MB,150812,2021,Germany,Germany,24.0,190,107,7.13,78,42.16%,5.20,23,21.10%,1.53,6,4.29%,0.40
16.0,Ambrosius Lea,MB,163989,2021,Germany,Germany,21.0,189,2,0.40,2,66.67%,0.40,0,0.00%,0.00,0,0.00%,0.00
17.0,Pogany Anna,L,136671,2021,Germany,Germany,27.0,170,0,0.00,0,-,-,0,-,-,0,-,-
20.0,Bock Josepha,MB,163674,2021,Germany,Germany,22.0,187,2,0.15,1,50.00%,0.08,1,100%,0.08,0,0.00%,0.00
21.0,Weitzel Camilla,MB,153929,2021,Germany,Germany,21.0,195,126,8.40,78,49.06%,5.20,27,17.20%,1.80,21,9.46%,1.40
24.0,Cekulaev Anastasia,MB,177765,2021,Germany,Germany,18.0,187,0,-,0,-,-,0,-,-,0,-,-
,Felix Koslowski,COACH,N/A,2021,Germany,,,,,,,,,,,,,,
2.0,Bosio Francesca,S,151986,2021,Italy,Italy,24.0,-,26,1.73,5,38.46%,0.33,5,7.14%,0.33,16,7.44%,1.07
4.0,Bonifacio Sara,MB,142391,2021,Italy,Italy,25.0,-,61,4.07,45,48.39%,3.00,9,13.64%,0.60,7,6.03%,0.47
12.0,Guerra Anastasia,OH,143393,2021,Italy,Italy,25.0,183,82,5.86,69,36.90%,4.93,9,47.37%,0.64,4,4.71%,0.29
15.0,Nwakalor Sylvia Chinelo,O,151664,2021,Italy,Italy,22.0,176,173,11.53,155,46.41%,10.33,13,24.07%,0.87,5,5.62%,0.33
19.0,Mingardi Camilla,OH,143401,2021,Italy,Italy,24.0,182,118,9.08,106,37.72%,8.15,8,22.86%,0.62,4,4.71%,0.31
21.0,Lubian Marina,MB,151658,2021,Italy,Italy,21.0,193,65,4.33,43,42.57%,2.87,9,12.16%,0.60,13,11.93%,0.87
22.0,Morello Rachele,S,156091,2021,Italy,Italy,21.0,182,2,0.40,0,0.00%,0.00,1,11.11%,0.20,1,4.17%,0.20
23.0,De Bortoli Chiara,L,150445,2021,Italy,Italy,24.0,175,0,0.00,0,-,-,0,-,-,0,-,-
24.0,Mazzaro Alessia,MB,151661,2021,Italy,Italy,23.0,184,99,6.60,64,50.39%,4.27,26,32.10%,1.73,9,4.92%,0.60
25.0,Piva Rebecca,OH,181258,2021,Italy,Italy,20.0,183,22,3.67,17,30.91%,2.83,3,18.75%,0.50,2,5.26%,0.33
26.0,Battistoni Ilaria,S,180478,2021,Italy,Italy,25.0,174,1,0.10,0,-,-,1,14.29%,0.10,0,0.00%,0.00
27.0,Furlan Eleonora,MB,136692,2021,Italy,Italy,27.0,189,31,2.21,18,46.15%,1.29,12,27.27%,0.86,1,2.70%,0.07
28.0,Melli Giulia,OH,151663,2021,Italy,Italy,24.0,184,121,8.07,106,40.46%,7.07,13,61.90%,0.87,2,1.98%,0.13
29.0,D'Odorico Sofia,OH,143391,2021,Italy,Italy,25.0,186,110,8.46,94,30.03%,7.23,6,13.33%,0.46,10,6.85%,0.77
30.0,Squarcini Federica,MB,173917,2021,Italy,Italy,21.0,181,-,-,-,-,-,-,-,-,-,-,-
31.0,Fersino Eleonora,L,173402,2021,Italy,Italy,22.0,-,0,0.00,0,0.00%,0.00,0,-,-,0,-,-
32.0,Omoruyi Oghosasere Loveth,OH,173730,2021,Italy,Italy,19.0,184,58,3.87,50,37.59%,3.33,6,37.50%,0.40,2,3.92%,0.13
,Giulio Cesare Bregoli,COACH,N/A,2021,Italy,,,,,,,,,,,,,,
1.0,Kurogo Ai,OH,146401,2021,Japan,Japan,23.0,180,223,13.12,197,37.74%,11.59,8,12.12%,0.47,18,7.79%,1.06
2.0,Nishida Sarina,OH,143437,2021,Japan,Japan,25.0,180,254,15.88,226,40.65%,14.12,11,15.49%,0.69,17,7.76%,1.06
3.0,Shimamura Haruyo,MB,141953,2021,Japan,Japan,30.0,182,78,5.57,62,41.33%,4.43,13,13.27%,0.93,3,3.30%,0.21
4.0,Nagaoka Miyu,O,119385,2021,Japan,Japan,30.0,179,-,-,-,-,-,-,-,-,-,-,-
5.0,Araki Erika,MB,112717,2021,Japan,Japan,37.0,186,97,5.71,64,42.67%,3.76,21,17.95%,1.24,12,7.23%,0.71
7.0,Ishii Yuki,OH,135416,2021,Japan,Japan,30.0,180,31,1.82,28,33.33%,1.65,3,37.50%,0.18,0,0.00%,0.00
8.0,Ishikawa Mayu,OH,162218,2021,Japan,Japan,21.0,174,226,13.29,202,41.31%,11.88,9,19.15%,0.53,15,7.39%,0.88
9.0,Tashiro Kanami,S,143376,2021,Japan,Japan,31.0,173,3,0.21,2,40.00%,0.14,1,25.00%,0.07,0,0.00%,0.00
10.0,Akutagawa Aika,MB,119378,2021,Japan,Japan,30.0,180,9,1.00,6,35.29%,0.67,2,50.00%,0.22,1,6.25%,0.11
11.0,Nabeya Yurie,OH,141956,2021,Japan,Japan,28.0,176,15,1.15,11,44.00%,0.85,1,100%,0.08,3,6.82%,0.23
13.0,Okumura Mai,MB,138802,2021,Japan,Japan,31.0,177,21,1.40,11,28.21%,0.73,6,20.00%,0.40,4,6.67%,0.27
14.0,Kobata Mako,L,162767,2021,Japan,Japan,29.0,164,0,0.00,0,-,-,0,-,-,0,-,-
15.0,Inoue Kotoe,L,124327,2021,Japan,Japan,32.0,163,0,0.00,0,-,-,0,-,-,0,-,-
19.0,Yamada Nichika,MB,162227,2021,Japan,Japan,22.0,184,45,3.00,37,42.53%,2.47,6,13.04%,0.40,2,3.08%,0.13
20.0,Seki Nanami,S,151944,2021,Japan,Japan,22.0,171,4,0.50,2,50.00%,0.25,1,33.33%,0.12,1,6.67%,0.12
21.0,Hayashi Kotona,OH,151953,2021,Japan,Japan,22.0,173,25,1.56,22,36.07%,1.38,1,16.67%,0.06,2,4.35%,0.12
24.0,Momii Aki,S,181033,2021,Japan,Japan,21.0,176,18,1.12,6,17.65%,0.38,11,14.67%,0.69,1,0.67%,0.06
,Kumi NAKADA,COACH,N/A,2021,Japan,,,,,,,,,,,,,,
1.0,Lee Soyoung,OH,135943,2021,Korea,Korea,27.0,176,130,8.67,114,36.54%,7.60,5,11.90%,0.33,11,8.15%,0.73
2.0,Lee Dahyeon,MB,163822,2021,Korea,Korea,20.0,185,37,2.64,24,43.64%,1.71,13,22.03%,0.93,0,0.00%,0.00
3.0,Yeum Hye Seon,S,120148,2021,Korea,Korea,31.0,176,16,1.23,5,41.67%,0.38,0,0.00%,0.00,11,8.53%,0.85
5.0,Han Dahye,L,181150,2021,Korea,Korea,27.0,164,0,0.00,0,-,-,0,-,-,0,-,-
6.0,Kim Dain,S,181159,2021,Korea,Korea,23.0,172,5,0.38,1,14.29%,0.08,2,9.09%,0.15,2,2.90%,0.15
7.0,An Hyejin,S,151959,2021,Korea,Korea,24.0,175,7,1.00,1,25.00%,0.14,3,18.75%,0.43,3,6.67%,0.43
8.0,Park Eunjin,MB,168185,2021,Korea,Korea,22.0,187,41,2.73,25,30.12%,1.67,5,8.93%,0.33,11,9.32%,0.73
9.0,Oh Jiyoung,L,116435,2021,Korea,Korea,33.0,170,0,0.00,0,-,-,0,-,-,0,-,-
10.0,Kim Yeon Koung,OH,116439,2021,Korea,Korea,34.0,192,196,13.07,181,41.71%,12.07,8,15.38%,0.53,7,4.17%,0.47
12.0,Han Songyi,MB,112772,2021,Korea,Korea,37.0,186,31,2.07,25,47.17%,1.67,5,14.29%,0.33,1,1.43%,0.07
13.0,Park Jeongah,OH,131893,2021,Korea,Korea,28.0,187,169,11.27,151,35.20%,10.07,14,20.59%,0.93,4,3.51%,0.27
14.0,Yang Hyo Jin,MB,116443,2021,Korea,Korea,32.0,190,76,5.07,50,47.17%,3.33,23,23.00%,1.53,3,2.29%,0.20
15.0,Yuk Seoyoung,O,181162,2021,Korea,Korea,20.0,180,8,0.62,8,32.00%,0.62,0,0.00%,0.00,0,0.00%,0.00
16.0,Jeong Jiyun,OH,163832,2021,Korea,Korea,21.0,180,94,6.27,80,30.53%,5.33,9,16.67%,0.60,5,6.17%,0.33
19.0,Pyo Seungju,OH,133482,2021,Korea,Korea,29.0,182,37,2.47,29,24.79%,1.93,3,15.00%,0.20,5,9.09%,0.33
,Stefano Lavarini,COACH,N/A,2021,Korea,,,,,,,,,,,,,,
1.0,Knip Kirsten,L,124071,2021,Netherlands,Netherlands,29.0,175,0,0.00,0,-,-,0,-,-,0,-,-
2.0,Savelkoel Fleur,OH,150828,2021,Netherlands,Netherlands,26.0,184,1,0.08,1,33.33%,0.08,0,-,-,0,-,-
4.0,Plak Celeste,O,142880,2021,Netherlands,Netherlands,26.0,190,59,5.90,56,40.58%,5.60,2,7.41%,0.20,1,1.49%,0.10
7.0,Lohuis Juliet,MB,151194,2021,Netherlands,Netherlands,25.0,190,92,7.67,65,51.18%,5.42,15,14.85%,1.25,12,7.23%,1.00
8.0,Korevaar Demi,MB,167777,2021,Netherlands,Netherlands,21.0,187,7,0.50,3,33.33%,0.21,3,33.33%,0.21,1,3.12%,0.07
9.0,Schoot Myrthe,L,123468,2021,Netherlands,Netherlands,33.0,182,0,0.00,0,-,-,0,-,-,0,-,-
10.0,van Aalen Sarah,S,162356,2021,Netherlands,Netherlands,22.0,186,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
11.0,Buijs Anne,OH,120503,2021,Netherlands,Netherlands,30.0,-,162,10.80,142,35.15%,9.47,15,22.39%,1.00,5,2.98%,0.33
12.0,Bongaerts Britt,S,147432,2021,Netherlands,Netherlands,25.0,185,49,3.27,27,43.55%,1.80,12,12.37%,0.80,10,5.62%,0.67
13.0,Jasper Hester,OH,167778,2021,Netherlands,Netherlands,20.0,175,0,-,0,-,-,0,-,-,0,-,-
17.0,Oude Luttikhuis Nicole,OH,150807,2021,Netherlands,Netherlands,24.0,191,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
18.0,Jasper Marrit,OH,159904,2021,Netherlands,Netherlands,26.0,180,24,1.60,20,26.32%,1.33,1,6.67%,0.07,3,4.55%,0.20
19.0,Daalderop Nika,OH,150809,2021,Netherlands,Netherlands,23.0,189,242,16.13,208,39.10%,13.87,19,21.35%,1.27,15,7.28%,1.00
21.0,Meijers Annick,OH,168147,2021,Netherlands,Netherlands,22.0,191,1,0.17,1,25.00%,0.17,0,-,-,0,0.00%,0.00
23.0,Timmerman Eline,MB,172894,2021,Netherlands,Netherlands,23.0,192,147,9.80,101,48.79%,6.73,37,19.89%,2.47,9,5.20%,0.60
24.0,de Zwart Laura,MB,162357,2021,Netherlands,Netherlands,23.0,199,0,0.00,0,-,-,0,-,-,0,-,-
25.0,Reesink Florien,L,148581,2021,Netherlands,Netherlands,23.0,174,0,-,0,-,-,0,-,-,0,-,-
27.0,Scholten Iris,O,162372,2021,Netherlands,Netherlands,22.0,191,32,2.46,23,31.94%,1.77,6,24.00%,0.46,3,5.77%,0.23
,Avital Selinger,COACH,N/A,2021,Netherlands,,,,,,,,,,,,,,
1.0,Nowicka Julia,S,152216,2021,Poland,Poland,23.0,174,29,1.93,12,28.57%,0.80,10,18.18%,0.67,7,3.61%,0.47
3.0,Alagierska-Szczepaniak Klaudia,MB,162398,2021,Poland,Poland,26.0,190,88,5.87,62,57.41%,4.13,20,21.74%,1.33,6,3.23%,0.40
5.0,Korneluk Agnieszka,MB,136317,2021,Poland,Poland,27.0,200,50,4.55,28,41.18%,2.55,17,27.87%,1.55,5,7.35%,0.45
8.0,Stenzel Maria,L,152233,2021,Poland,Poland,23.0,168,0,0.00,0,-,-,0,-,-,0,-,-
9.0,Stysiak Magdalena,O,152217,2021,Poland,Poland,21.0,203,283,18.87,245,44.46%,16.33,22,28.95%,1.47,16,8.70%,1.07
10.0,Efimienko-Mlotkowska Zuzanna,MB,119138,2021,Poland,Poland,32.0,197,80,6.15,52,50.98%,4.00,20,18.18%,1.54,8,6.15%,0.62
11.0,Lukasik Martyna,OH,163098,2021,Poland,Poland,22.0,189,133,8.87,100,36.10%,6.67,17,27.87%,1.13,16,9.04%,1.07
13.0,Jagla Monika,L,164106,2021,Poland,Poland,22.0,177,0,0.00,0,-,-,0,-,-,0,-,-
17.0,Smarzek Malwina,O,143463,2021,Poland,Poland,25.0,191,160,13.33,140,38.25%,11.67,17,22.97%,1.42,3,3.23%,0.25
19.0,Fedusio Monika,OH,152231,2021,Poland,Poland,22.0,183,6,0.43,6,27.27%,0.43,0,0.00%,0.00,0,0.00%,0.00
20.0,Czyrnianska Martyna,OH,181268,2021,Poland,Poland,18.0,191,35,2.50,29,37.18%,2.07,6,27.27%,0.43,0,0.00%,0.00
21.0,Druzkowska Karolina,OH,181267,2021,Poland,Poland,20.0,194,0,0.00,0,-,-,0,-,-,0,-,-
23.0,Krajewska Marta,S,181273,2021,Poland,Poland,23.0,176,-,-,-,-,-,-,-,-,-,-,-
26.0,Wenerska Katarzyna,S,181263,2021,Poland,Poland,29.0,180,9,1.50,5,45.45%,0.83,1,5.88%,0.17,3,3.33%,0.50
27.0,Łazowska Martyna,S,173996,2021,Poland,Poland,19.0,176,4,0.44,3,60.00%,0.33,1,14.29%,0.11,0,0.00%,0.00
30.0,Rozanski Olivia,OH,151231,2021,Poland,Poland,24.0,185,17,1.31,14,35.90%,1.08,3,37.50%,0.23,0,0.00%,0.00
